W/L,Win_Margin,Away,Home,Year,Point_Differential,RW,GF/GP,GA/GP,Total_goal_differential,PP%,PK%,Net PP%,Net PK%,Shots/GP,SA/GP,Shot_Differential,FOW%,Win% 1 Goal Game,Win% 2 Goal Game,Win% 3 Goal Game,Wins 1 Goal Game,Wins 2 Goal Game,Wins 3 Goal Game,Loss 1 Goal Game,Loss 2 Goal Game,Loss 3 Goal Game,SF GP,W% SF,W% TF,PIM,Pen Drawn/60,Pen Taken/60,Net Pen/60,Bench,Minor,Major,Match,Msct,G Msct,GF in P1,GA in P1,GF in P2,GA in P2,Wins Lead 1P,Loss Lead 1P,Ties Lead 1P,OT Loss Lead 1P,Win% Lead 1P,Wins Lead 2P,Loss Lead 2P,Ties Lead 2P,OT Loss Lead 2P,Win% Lead 2P,Wins Trail 1P,Loss Trail 1P,Ties Trail 1P,OT Loss Trail 1P,Win% Trail 1P,Wins Trail 2P,Loss Trail 2P,Ties Trail 2P,OT Loss Trail 2P,Win% Trail 2P
1,1,DAL,STL,2019,6,0,0.43,0.24,0.19,0.1,-1.3,-2,-0.9,1.1,-3,4.1,-0.5,-0.015,0.033,0.059,-1,-4,7,-2,-4,2,5,0.006,-0.017,-8,0.24,-0.11,0.35,6,-16,2,0,1,-1,44,3,-7,10,8,2,0,2,-0.052,5,1,0,0,-0.012,-4,-7,0,1,-0.083,-2,3,0,3,-0.083
1,1,COL,SJS,2019,11,5,0.37,0.17,0.2,1.7,2.1,-0.4,2.6,0.4,-3.6,4,2.2,0.273,-0.238,0.073,9,-2,1,-3,4,-4,4,0.005,0.157,-23,-0.39,-0.32,-0.08,-2,-27,-5,0,6,1,43,20,-7,6,8,2,0,-2,0.063,6,2,0,-1,-0.003,-2,-1,0,-3,-0.017,1,-1,0,-2,0.047
1,1,TOR,BOS,2019,7,-2,-0.36,-0.45,0.09,4.1,0,2.4,0.4,-0.7,-3.6,2.9,-2.3,0.103,-0.25,0.131,9,-11,5,1,-1,-4,4,0.001,0.042,294,0.98,1.09,-0.11,-4,69,20,0,5,2,-10,-14,-7,-16,1,2,0,-1,-0.022,-5,3,0,2,-0.135,-3,-1,0,0,-0.072,0,-6,0,-2,0.033
1,1,VGK,SJS,2019,8,2,0.52,0.37,0.15,6.9,-0.1,3.9,-1.1,-1.3,-1,-0.3,-0.1,0.048,-0.134,0.096,1,-3,5,-4,1,-2,2,0.062,-0.005,166,0.52,0.42,0.09,8,8,10,0,5,4,28,15,-2,2,6,-2,0,-1,0.123,6,3,0,-1,-0.031,-5,-1,0,2,-0.143,0,-5,0,3,0.013
1,2,CBJ,BOS,2019,9,1,0.01,-0.23,0.24,10.5,-5.1,7.2,-6.2,1.1,0,1.1,0.4,-0.047,0.06,0.066,4,0,-2,0,-2,-5,4,-0.047,0.067,285,0.8,1.03,-0.23,0,64,15,0,5,3,-18,-25,10,-2,-4,1,0,1,-0.073,-1,1,0,3,-0.103,-2,-8,0,3,-0.006,1,-5,0,1,0.053
1,4,CAR,BOS,2019,8,-1,0.17,-0.11,0.28,8.1,-1.7,5.3,-2.1,-1.7,0.9,-2.6,1.7,0.047,-0.133,0.088,6,-6,3,0,-2,-3,3,-0.028,0.084,179,0.26,0.36,-0.11,0,6,19,0,4,3,-4,-11,10,1,0,4,0,-2,-0.056,-3,0,0,1,-0.034,0,-3,0,2,0.011,0,-2,0,-1,0.015
1,4,PIT,NYI,2019,3,0,-0.58,-0.57,-0.01,-10.1,0.2,-3.9,-2.4,-4.5,-2.4,-2.1,-3.2,0.142,-0.074,0.03,5,1,-2,1,3,-3,-2,0.093,0.002,-31,-0.04,-0.07,0.02,0,-2,-1,-2,1,-2,-15,-14,-36,-23,-2,-1,0,2,-0.04,-2,2,0,1,-0.073,-1,-3,0,-4,0.072,2,-2,0,-2,0.093
0,-4,SJS,ANA,2018,1,0,-0.19,-0.21,0.02,-2.8,-1.6,-3.6,-1.5,-2.8,2.8,-5.6,0,-0.119,0.202,-0.066,-6,3,3,0,-6,5,0,0.05,-0.048,54,-0.12,0.59,-0.71,1,55,-2,0,-1,-4,-9,-19,-7,-2,-1,-1,0,0,0.024,1,1,0,2,-0.071,-1,0,0,0,-0.025,-3,-4,0,2,-0.089
0,-3,WSH,VGK,2018,4,1,0.15,-0.16,0.31,-1.5,1.1,-0.3,3,3.8,-1.2,5,-1.5,-0.027,-0.047,0.156,2,-7,7,3,-2,-3,4,0.018,-0.007,-240,-0.33,-0.83,0.49,-3,-43,-14,0,-8,0,2,-4,7,0,-7,5,0,1,-0.216,-5,2,0,-1,-0.039,-1,-3,0,4,-0.045,3,-1,0,0,0.11
0,-3,VGK,WPG,2018,5,4,0.06,-0.11,0.17,2.4,0.4,1.8,0.2,-0.6,1.2,-1.8,3.5,0.032,-0.084,0.02,0,-1,2,-5,1,0,6,-0.042,0.014,137,0.45,0.62,-0.17,8,38,1,0,4,0,14,1,0,3,9,-3,0,0,0.132,11,-2,0,-1,0.094,2,-2,0,-4,0.171,-3,-1,0,1,-0.104
